"Title","Title_URL","Image","addresse","note","tarif"
"Hôtel Central Saint Germain","https://www.france-hotel-guide.com/fr/43301-hotel-central-saint-germain-paris-fr.php","https://cf.bstatic.com/xdata/images/hotel/max500/267402072.jpg?k=21f1a4d5753c3d12233aa388d5e7838488d8921da093c5dddefc28c392fbc93d&o=&hp=1","5ème arr. Panthéon - Saint-Michel","Très bien, 4","€ 151"
"Hotel Fontaines du Luxembourg","https://www.france-hotel-guide.com/fr/43363-hotel-fontaines-du-luxembourg-paris-fr.php","https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/37/88/25/classic-twin-bedded-room.jpg?w=900&h=-1&s=1","6ème arr. Saint-Germain - Luxembourg","Très bien, 4","€ 145"
"Hôtel Quartier Latin","https://www.france-hotel-guide.com/fr/43364-hotel-quartier-latin-paris-fr.php","https://media-cdn.tripadvisor.com/media/photo-s/22/62/f2/18/guest-room.jpg","5ème arr. Panthéon - Saint-Michel","Très bien, 4","€ 150"
"Novotel Paris Les Halles","https://www.france-hotel-guide.com/fr/43367-novotel-paris-les-halles-paris-fr.php","https://assets.hotelaparis.com/uploads/pictures/000/043/223/_N2Q7556.jpg","1er arr. Louvre - Châtelet","Très bien, 4","€ 177"
"Le Petit Belloy","https://www.france-hotel-guide.com/fr/43374-le-petit-belloy-paris-fr.php","https://www.cityzeum.com/himage/11/hotel-le-petit-belloy-saint-germain.1115029.jpg","6ème arr. Saint-Germain - Luxembourg","Très bien, 4","€ 116"
"Hôtel Elixir","https://www.france-hotel-guide.com/fr/43416-hotel-elixir-paris-fr.php","https://hotelelixir.com/_novaimg/4502868-1393009_0_0_2200_1468_2200_1467.rc.jpg","1er arr. Louvre - Châtelet","Très bien, 4","€ 121"
"Hotel Mercure La Sorbonne Saint Germain des Prés","https://www.france-hotel-guide.com/fr/43473-hotel-mercure-la-sorbonne-saint-germain-des-pres-paris-fr.php","https://media-cdn.tripadvisor.com/media/photo-s/21/ac/2a/64/exterior.jpg","5ème arr. Panthéon - Saint-Michel","Très bien, 4","€ 164"
"Hotel Trianon Rive Gauche","https://www.france-hotel-guide.com/fr/43508-hotel-trianon-rive-gauche-paris-fr.php","https://www.parisinfo.com/var/otcp/sites/images/node_43/node_51/node_77884/node_77885/h%C3%B4tel-trianon-rive-gauche-chambre-double-deluxe-2-%7C-630x405-%7C-%C2%A9-h%C3%B4tel-trianon-rive-gauche/21198284-1-fre-FR/H%C3%B4tel-Trianon-Rive-Gauche-Chambre-double-deluxe-2-%7C-630x405-%7C-%C2%A9-H%C3%B4tel-Trianon-Rive-Gauche.jpg","6ème arr. Saint-Germain - Luxembourg","Très bien, 4","€ 160"
"Hotel Des Deux Continents","https://www.france-hotel-guide.com/fr/43521-hotel-des-deux-continents-paris-fr.php","https://cf.bstatic.com/xdata/images/hotel/max1024x768/164914545.jpg?k=22f7dcd7066e51ccd8a235f38706152ad4c9e85968801939801ce8dedd590082&o=&hp=1","6ème arr. Saint-Germain - Luxembourg","Très bien, 4","€ 156"
"Grand Hôtel Dechampaigne","https://www.france-hotel-guide.com/fr/43609-grand-hotel-dechampaigne-paris-fr.php","https://grandhoteldechampaigne.com/wp-content/uploads/2016/09/grand-hotel-dechampaigne-5.jpg","1er arr. Louvre - Châtelet","Très bien, 4","€ 177"
"Villa Panthéon","https://www.france-hotel-guide.com/fr/43639-villa-pantheon-paris-fr.php","https://www.kayak.fr/rimg/kimg/19/e9/fd74b29d-15de69fcd0a.jpg?width=720&height=576&crop=true","5ème arr. Panthéon - Saint-Michel","Très bien, 4","€ 158"
"Citadines Les Halles Paris","https://www.france-hotel-guide.com/fr/43659-citadines-les-halles-paris-paris-fr.php","https://media-cdn.tripadvisor.com/media/photo-s/06/a8/4a/52/studio-premier--v3580363.jpg","1er arr. Louvre - Châtelet","Très bien, 4","€ 139"
"Hôtel De Nice","https://www.france-hotel-guide.com/fr/43831-hotel-de-nice-paris-fr.php","http://www.paris-paris.com/hotel/data_hotel_de_nice/images/500x400/hotel_de_nice-1.jpg","4ème arr. Marais - Centre Pompidou","Très bien, 4","€ 105"
"Hôtel Marignan","https://www.france-hotel-guide.com/fr/43855-hotel-marignan-paris-fr.php","https://media-cdn.tripadvisor.com/media/photo-s/09/9e/12/a7/hotel-marignan-paris.jpg","5ème arr. Panthéon - Saint-Michel","Très bien, 4","€ 102"
"Hôtel Beaubourg","https://www.france-hotel-guide.com/fr/44288-hotel-beaubourg-paris-fr.php","https://www.kayak.fr/rimg/himg/33/ac/3a/hotelsdotcom-282313-dcd35018_w-417351.jpg?width=1366&height=768&xhint=1120&yhint=554&crop=true","4ème arr. Marais - Centre Pompidou","Très bien, 4","€ 179"
"Villa Des Princes","https://www.france-hotel-guide.com/fr/43183-villa-des-princes-paris-fr.php","https://www.cybevasion.fr/thumb/500x375/chambres/france/03/54574_678947_23.jpg","6ème arr. Saint-Germain - Luxembourg","Bien, 3.5","€ 119"
"Hotel Maison Colbert Member of Meliá Collection","https://www.france-hotel-guide.com/fr/43428-hotel-maison-colbert-member-of-melia-collection-paris-fr.php","https://q-xx.bstatic.com/xdata/images/hotel/max500/334418842.jpg?k=4b387cd45e992c334efe22f797da572230d58ff29993882bba3ee0836588ca2b&o=","5ème arr. Panthéon - Saint-Michel","Bien, 3.5","€ 397"
"Hotel Saint Honore","https://www.france-hotel-guide.com/fr/43551-hotel-saint-honore-paris-fr.php","https://www.hotelsthonore.com/wcms/img/hotel-saint-honore-chambre-classique-size-415421-1600-1200.jpg","1er arr. Louvre - Châtelet","Bien, 3.5","€ 116"
"Home Latin","https://www.france-hotel-guide.com/fr/43587-home-latin-paris-fr.php","https://www.hotelhomelatinparis.com/wp-content/blogs.dir/1100/files/cabeceras/cabecera-1.jpg","5ème arr. Panthéon - Saint-Michel","Bien, 3.5","€ 88"
"Hôtel Eugénie","https://www.france-hotel-guide.com/fr/43815-hotel-eugenie-paris-fr.php","https://www.villa-eugenie.com/_files/_media/48/CHAMBRES/Hotel_Villa_Eugenie_Paris_17_eme_quartier_chic_centre_grande_chambre_espace.jpg","6ème arr. Saint-Germain - Luxembourg","Bien, 3.5","€ 138"
"Hôtel Le Compostelle","https://www.france-hotel-guide.com/fr/43846-hotel-le-compostelle-paris-fr.php","https://cf.bstatic.com/xdata/images/hotel/max1024x768/148065408.jpg?k=27281ce17f7714def2d7e616fe95b3b642475f0995f0fc319aaa199fc57ea4c6&o=&hp=1","4ème arr. Marais - Centre Pompidou","Bien, 3.5","€ 126"
"Hôtel Saint Pierre","https://www.france-hotel-guide.com/fr/43900-hotel-saint-pierre-paris-fr.php","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/60/da/f3/suite-deluxe-vue-mer.jpg?w=900&h=-1&s=1","6ème arr. Saint-Germain - Luxembourg","Bien, 3.5","€ 117"
"Hotel du Lys","https://www.france-hotel-guide.com/fr/44153-hotel-du-lys-paris-fr.php","https://cf.bstatic.com/xdata/images/hotel/max1024x768/81749041.jpg?k=fcc08553baeb6e66730b567b7dd641dece0807952967a0150cb36727405ca29b&o=&hp=1","6ème arr. Saint-Germain - Luxembourg","Bien, 3.5","€ 150"
"Hotel Agora","https://www.france-hotel-guide.com/fr/43133-hotel-agora-paris-fr.php","https://assets.hotelaparis.com/uploads/pictures/000/014/520/1-hotel-agora-paris-chambre-confort.jpg","1er arr. Louvre - Châtelet","Bien, 3","€ 129"
"France Louvre","https://www.france-hotel-guide.com/fr/43460-france-louvre-paris-fr.php","https://media-cdn.tripadvisor.com/media/photo-s/06/bb/0d/3f/france-louvre.jpg","4ème arr. Marais - Centre Pompidou","Bien, 3","€ 75"
"Hôtel du Pont Neuf","https://www.france-hotel-guide.com/fr/44158-hotel-du-pont-neuf-paris-fr.php","https://www.caravelis.com/xml/oi/TFO16973699779/TFO16973699779-17a/medias/jpg/img_6660-1-_w2000.jpg","1er arr. Louvre - Châtelet","Correct, 2","€ 96"
